Company Number,Company Name,Date Incorporated,Active Directors,Registered Address
00816448,HAYES PARSONS LIMITED,8/20/1964,2,"Colston Tower, Colston Street, Bristol, BS1 4XE"
04955146,2CAN LIMITED,11/6/2003,2,"Suite 15a Marina Court, Castle Street, Hull, England, HU1 1TJ"
08725535,38 DEGREES NORTH LIMITED,10/9/2013,1,"C/O Optima Accountancy Services Ltd, 7 Paynes Park, Hitchin, Herts, England, SG5 1EH"
07210075,83 FURNESS LIMITED,3/31/2010,1,"177 Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED"
03736325,A E C C ENTERPRISES LTD,3/19/1999,4,"13-15 Parkwood Road, Bournemouth, BH5 2DF"
05642498,A J WILDASH LIMITED,12/1/2005,2,"31 Broomfield House Lanswoodpark, Colchester, Essex, United Kingdom, CO7 7FD"
07768246,AAP FINANCIAL SOLUTIONS LTD,9/9/2011,1,"Unit 2b Stanhope Gate, Stanhope Road, Camberley, England, GU15 3DW"
04176450,ABBEYGATE LIMITED,3/9/2001,3,"New Burlington House, 1075 Finchley Road, London, NW11 0PU"
02890075,ABLE INSURANCE SERVICES LIMITED,1/21/1994,2,"Ellipse Ground Floor, Padley Road, Swansea, SA1 8AN"
07471704,ACCESS CONTROL DIRECT LIMITED,12/16/2010,2,"The Dale Silver Lane, Marchington, Uttoxeter, Staffordshire, ST14 8LL"
11855339,ACCIDENT BUDDY LIMITED,3/1/2019,3,"Sherwood House, 7 Gregory Boulevard, Nottingham, United Kingdom, NG7 6LB"
03841776,ACM BROKING LIMITED,9/15/1999,2,"Building Research Establishment, Bucknalls Lane, Watford, Hertfordshire, WD25 9XX"
SC201254,ACORN SERVICES (EDINBURGH) LIMITED,11/3/1999,1,"26 Forth Street, Edinburgh, Scotland, EH1 3LH"
12024140,ACTEON A1 LIMITED,5/30/2019,1,"Ferryside, Ferry Road, Norwich, Norfolk, England, NR1 1SW"
11353762,ACTIVE LIFE COMMERCIAL LIMITED,5/10/2018,1,"Active Life Group, 21 Hinton Road, Bournemouth, England, BH1 2DE"
01200890,ADJUSTING SERVICES LIMITED,2/19/1975,12,"Bury House, 31 Bury Street, London, EC3A 5AG"
07218434,ADVISEC LTD,4/9/2010,1,"41 Barry Avenue, Bicester, Oxfordshire, OX26 2DZ"
03565404,AFFINITY SELECT INSURANCE SERVICES LIMITED,5/18/1998,2,"Units 1-6 Horsted Square, Bellbrook Industrial Estate, Uckfield, East Sussex, TN22 1QG"
11303489,AFLIB2 LTD,4/11/2018,2,"8 Lloyd's Avenue, London, England, EC3N 3EL"
07977359,AIR INTELLIGENCE LTD,3/6/2012,2,"Thornbury Cottage Cookham Dean Common, Cookham, Maidenhead, Berkshire, England, SL6 9NZ"
